id;name;type;fgc_guarantee;active;minimum_investment;financial_risk;daily_liquidity;indexer_profitability;type_profitability;value_profitability;redemption_period;net_profitability;gross_income;distributor_name;issuer_name;risk;thumbnail;financial_risk_original;cdi_yearly;ipca_12
2889;CDB Sofisa Direto Pós-fixado 111,00% CDI;CDB;1;1;1.0;Baixo;No Vencimento;CDI;POST_FIXED;111.00;02/03/2026;9.81;12.27;Sofisa Direto;Sofisa Direto;1;https://investidor10.com.br/storage/companies/679b730f33a1f.png;LOW;11.13;5.06
3989;CDB Banco BS2 Pós-fixado 107,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;107.00;29/08/2026;9.80;11.82;Nubank;Banco BS2;1;https://investidor10.com.br/storage/companies/673b9d5c12354.jpg;LOW;11.13;5.06
3991;CDB Agibank Pós-fixado 106,50% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;106.50;07/03/2027;9.80;11.77;Nubank;Banco Agibank;1;https://investidor10.com.br/storage/companies/6723e55fc7db5.jpg;LOW;11.13;5.06
4010;CDB Banco Original Pós-Fixado 106,50% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;106.50;01/03/2027;9.80;11.77;Banco Inter;Banco Original;1;https://investidor10.com.br/storage/companies/6751de6021724.png;LOW;11.13;5.06
3574;CDB BTG Pactual Pós-fixado 102,75% CDI;CDB;1;1;500.0;Baixo;No Vencimento;CDI;POST_FIXED;102.75;14/02/2028;9.80;11.35;BTG Pactual;Banco BTG Pactual;1;https://investidor10.com.br/storage/companies/66cc8e7c56df1.jpg;LOW;11.13;5.06
4007;CDB Qista Pós-Fixado 115,00% CDI;CDB;1;1;107.97;Baixo;No Vencimento;CDI;POST_FIXED;115.00;18/08/2025;9.77;12.71;Banco Inter;Qista S.A.;1;https://investidor10.com.br/storage/companies/6720e24f2160f.jpg;LOW;11.13;5.06
2920;CDB Banco BS2 Pós-fixado 106,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;106.00;30/01/2027;9.75;11.71;XP Investimentos;Banco BS2;1;https://investidor10.com.br/storage/companies/673b9d5c12354.jpg;LOW;11.13;5.06
3992;CDB Banco Digimais Pós-fixado 106,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;106.00;25/02/2027;9.75;11.71;Nubank;Banco Digimais;1;https://investidor10.com.br/storage/companies/6716aa1c977b6.png;LOW;11.13;5.06
4075;CDB Banco BMG Pós-fixado 103,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;103.00;11/03/2027;9.75;11.38;Itaú Unibanco;Banco BMG;1;https://investidor10.com.br/storage/companies/66d9a94bc4c89.jpg;LOW;11.13;5.06
4076;CDB Banco Mercantil Pós-fixado 103,00% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;103.00;11/03/2027;9.75;11.38;Itaú Unibanco;Banco Mercantil do Brasil;1;https://investidor10.com.br/storage/companies/649ca663f374f.jpg;LOW;11.13;5.06
